Forum,Tag,Subject,Poster,Comments,Views,Likes,Time
ASX - Day Trading,,Re:                                                         Afternoon trading April 17,togakure,94,9.6K,0,15:25
ASX - Day Trading,,94,9.6K,0,Commodities,GOLD,"Re:
                                                        gold"
Commodities,,132K,52M,0,ASX - By Stock,NAG,"Re:
                                                        Don’t forget about Gold!"
ASX - By Stock,,4,460,0,ASX - By Stock,MSB,"Re:
                                                        Ann: Mesoblast Extends Ryoncil Payer Coverage To 104M US Lives"
ASX - By Stock,,32,8.3K,0,ASX - By Stock,RCE,"Re:
                                                        Directors Taking Entitlements… Insider Confidence?"
ASX - By Stock,,2,220,0,ASX - By Stock,TLX,"Re:
                                                        Market competitor news"
ASX - By Stock,,116,52K,0,Political Debate,"Re:
                                                        Election result prediction",Cowboyinvestor
Political Debate,,38,2.3K,0,ASX - By Stock,RXL,"Re:
                                                        Corporate interest inevitable"
ASX - By Stock,,1,171,0,ASX - By Stock,MEI,"Re:
                                                        Ann: Barra do Pacu Resource Adds Strategic High-Grade Rare Earths"
ASX - By Stock,,113,32K,0,Political Debate,"Re:
                                                        Giving up on Net Zero",nursery
Political Debate,,3,192,0,ASX - By Stock,CRS,"Re:
                                                        Ann: $1 Million Drill for Equity Agreement signed with Topdrill"
ASX - By Stock,,11,3.5K,0,ASX - By Stock,MAY,"Re:
                                                        Ann: Block 9 Operations Update"
ASX - By Stock,,183,55K,0,ASX - By Stock,ORA,Ann: Notification of cessation of securities - ORA
ASX - By Stock,,0,10,0,ASX - By Stock,ARU,"Re:
                                                        Ann: Tamboran & Arafura sign LOI for future gas supply"
ASX - By Stock,,22,6.8K,0,ASX - By Stock,PNV,"Re:
                                                        Ann: Change in substantial holding"
ASX - By Stock,,29,5.7K,0,General,"Re:
                                                        Take a Paws",Justis
ASX - By Stock,WIN,Re:                                                         Ann: WIN advances Butchers Creek development with resource update,ProCapitalism,16,4.7K,0,15:23
ASX - By Stock,,16,4.7K,0,Political Debate,"Re:
                                                        Peter Dutton easily won tonight's debate",pintohoo
Political Debate,,96,7.6K,0,ASX - By Stock,SLZ,"Re:
                                                        Ann: Change in substantial holding"
ASX - By Stock,,16,1.2K,0,ASX - By Stock,ASN,"Re:
                                                        Ann: Binding Offtake Term Sheet with LG Energy Solution"
ASX - By Stock,,479,165K,0,ASX - By Stock,MHC,"Re:
                                                        Info Needed for ASIC Report"
ASX - By Stock,,15,2.0K,0,ASX - By Stock,WDS,"Re:
                                                        Ann: Woodside signs LNG supply agreements with Uniper"
ASX - By Stock,,27,5.1K,0,ASX - Day Trading,"Re:
                                                        Afternoon trading April 17",Bomber78
ASX - Day Trading,,94,9.6K,1,ASX - By Stock,C1X,"Re:
                                                        C1X Chart"
ASX - By Stock,,30,4.9K,0,ASX - By Stock,ASM,"Re:
                                                        Relevant Media"
ASX - By Stock,,3.8K,1.5M,0,ASX - By Stock,ASN,"Re:
                                                        ASN General Discussion"
ASX - By Stock,,28K,8.6M,0,Political Debate,"Re:
                                                        Election result prediction",Wazza3006
Political Debate,,38,2.3K,0,ASX - By Stock,EFE,"Re:
                                                        EFE Charts"
ASX - By Stock,,28,5.1K,0,ASX - Day Trading,"Re:
                                                        Afternoon trading April 17",Bomber78
ASX - Day Trading,,94,9.6K,1,ASX - By Stock,AXE,"Re:
                                                        Ann: Quarterly Activity Report & Appendix 4C"
ASX - By Stock,,16,3.0K,0,ASX - By Stock,PNV,"Re:
                                                        Ann: Change in substantial holding"
ASX - By Stock,,29,5.7K,1,ASX - Day Trading,"Re:
                                                        Afternoon trading April 17",Klotho
ASX - Day Trading,,94,9.6K,0,ASX - By Stock,VKA,"Re:
                                                        Ann: VIKING AND TOPDRILL EXECUTE DRILL-FOR-EQUITY AGREEMENT"
ASX - By Stock,,16,2.8K,0,ASX - By Stock,IVZ,"Re:
                                                        Ann: Musuma-1 selected as high-impact exploration well"
ASX - By Stock,,273,57K,1,ASX - By Stock,IDX,Ann: Change of Registered Office
ASX - By Stock,,0,22,0,Political Debate,Climate,"Re:
                                                        NO such thing as Climate Change?"
Political Debate,,10K,1.2M,1,ASX - By Stock,AVZ,"Re:
                                                        KoBold Makes Offer for Congo Lithium as Country Courts US"
ASX - By Stock,,753,393K,0,ASX - By Stock,NMG,"Re:
                                                        Buy and Sell Query"
ASX - By Stock,,23,2.0K,0,Charts,VKA,"Re:
                                                        VKA Charting Thread"
Charts,,153,46K,1,ASX - By Stock,WA1,"Re:
                                                        Ann: West Arunta Project - Luni Assay Results"
ASX - By Stock,,27,5.5K,0,ASX - By Stock,LR3,Ann: Monthly Report - March 2025
ASX - By Stock,,0,35,0,ASX - By Stock,SPX,"Re:
                                                        Adrian Floate - Missing Person"
ASX - By Stock,,30,5.2K,0,ASX - By Stock,WA1,"Re:
                                                        Ann: West Arunta Project - Luni Assay Results"
ASX - By Stock,,27,5.5K,0,ASX - By Stock,PNV,"Re:
                                                        Ann: Change in substantial holding"
ASX - By Stock,,29,5.7K,0,ASX - By Stock,FDV,Ann: Notice of 2025 Annual General Meeting
ASX - By Stock,,0,58,0,ASX - By Stock,MSB,"Re:
                                                        banter and General Discussion"
ASX - By Stock,,16K,5.8M,0,ASX - By Stock,DVP,"Re:
                                                        DVP Technical Analysis"
ASX - By Stock,,4.3K,1.7M,1,ASX - By Stock,SLZ,"Re:
                                                        Ann: Change in substantial holding"
ASX - By Stock,,16,1.2K,1,ASX - Day Trading,"Re:
                                                        Afternoon trading April 17",vietnaminvest
ASX - Day Trading,,94,9.6K,0,ASX - By Stock,NMG,"Re:
                                                        Buy and Sell Query"
ASX - By Stock,,23,2.0K,0,ASX - By Stock,SNT,"Re:
                                                        SNT - General Discussions"
ASX - By Stock,,125,36K,0,ASX - By Stock,ARU,"Re:
                                                        Ann: Tamboran & Arafura sign LOI for future gas supply"
ASX - By Stock,,22,6.8K,0,ASX - By Stock,OVT,"Re:
                                                        BNPL in USA: Can This Plan Add Up?"
ASX - By Stock,,14,2.5K,0,ASX - By Stock,NOR,"Re:
                                                        Ann: Key project milestones  achieved & reports strong revenues"
ASX - By Stock,,45,4.9K,0,ASX - By Stock,LR4,Ann: Monthly Report - March 2025
ASX - By Stock,,0,38,0,ASX - By Stock,PCL,"Re:
                                                        General Thoughts"
ASX - By Stock,,8.7K,4.4M,3,Political Debate,"Re:
                                                        Election result prediction",Cowboyinvestor
Political Debate,,38,2.3K,0,ASX - By Stock,NMG,"Re:
                                                        Buy and Sell Query"
ASX - By Stock,,23,2.0K,0,ASX - By Stock,GMD,"Re:
                                                        Quarterly projection"
ASX - By Stock,,24,9.1K,0,ASX - By Stock,PNN,"Re:
                                                        Ann: STRATEGIC INVESTMENT & LOI TO ACQUIRE HIGH GRADE Nb PROJECT"
ASX - By Stock,,47,6.3K,0,ASX - By Stock,LR1,Ann: Monthly Report - March 2025
ASX - By Stock,,0,38,0,ASX - By Stock,PER,"Re:
                                                        Call regarding voting"
ASX - By Stock,,25,5.5K,0,ASX - By Stock,OCC,"Re:
                                                        OCC Trading"
ASX - By Stock,,2.2K,784K,1,ASX - By Stock,IMU,"Re:
                                                        List of the questions for the webinar"
ASX - By Stock,,261,69K,0,Commodities,GOLD,"Re:
                                                        gold"
Commodities,,132K,52M,0,ASX - By Stock,QHL,Ann: Scheme Becomes Effective
ASX - By Stock,,0,60,0,ASX - By Stock,ARU,"Re:
                                                        ARU Chart Thread"
ASX - By Stock,,4.6K,2.0M,0,ASX - By Stock,PEN,"Re:
                                                        Ann: Trading Halt"
ASX - By Stock,,37,7.6K,0,ASX - By Stock,SLZ,"Re:
                                                        Ann: Change in substantial holding"
ASX - By Stock,,16,1.2K,1,ASX - By Stock,PTX,"Re:
                                                        Ann: Prescient Therapeutics - Investor Briefing"
ASX - By Stock,,7,1.0K,3,ASX - By Stock,NMG,"Re:
                                                        Buy and Sell Query"
ASX - By Stock,,23,2.0K,0,ASX - By Stock,VAU,"Re:
                                                        Is there a pilot at the controls of VAU ?"
ASX - By Stock,,117,26K,0,ASX - By Stock,MAY,"Re:
                                                        Ann: Block 9 Operations Update"
ASX - By Stock,,183,55K,0,ASX - By Stock,OZM,"Re:
                                                        Ann: High-Grade Gold Mulgabbie Paleochannel & Exploration Update"
ASX - By Stock,,137,24K,1,ASX - By Stock,MAY,"Re:
                                                        Ann: Block 9 Operations Update"
ASX - By Stock,,183,55K,1,ASX - By Stock,ASN,"Re:
                                                        Ann: Binding Offtake Term Sheet with LG Energy Solution"
ASX - By Stock,,479,165K,1,ASX - By Stock,LRV,"Re:
                                                        Ann: Notice of Annual General Meeting/Proxy Form"
ASX - By Stock,,166,36K,0,ASX - By Stock,OSL,"Re:
                                                        Ann: Investor Webinar Presentation"
ASX - By Stock,,179,40K,1,ASX - Day Trading,"Re:
                                                        Afternoon trading April 17",flywhale
ASX - Day Trading,,94,9.6K,0,ASX - By Stock,LT9,Ann: Monthly Report - March 2025
ASX - By Stock,,0,43,0,ASX - By Stock,LT8,Ann: Monthly Report - March 2025
ASX - By Stock,,0,42,0,ASX - By Stock,ITM,"Re:
                                                        Ann: Drilling Commences at Balumbah Graphite Prospect"
ASX - By Stock,,13,3.2K,0,ASX - By Stock,PCL,"Re:
                                                        General Thoughts"
ASX - By Stock,,8.7K,4.4M,2,ASX - By Stock,1MC,Lithium
ASX - By Stock,,23,3.8K,0,ASX - By Stock,DRE,Ann: Cancel - Proposed issue of securities - DRE
ASX - By Stock,,0,45,0,ASX - By Stock,PGF,Ann: Quarterly Report - 31 March 2025
ASX - By Stock,,0,17,0,Political Debate,"Re:
                                                        Peter Dutton easily won tonight's debate",HomeBrand
Political Debate,,96,7.6K,0,ASX - By Stock,AVM,"Re:
                                                        Ann: SPECTACULAR MYRTLEFORD RESULTS WITH UP TO 446g/t GOLD"
ASX - By Stock,,40,8.1K,0,Political Debate,"Re:
                                                        Election result prediction",Cowboyinvestor
Political Debate,,38,2.3K,0,World Politics,"Re:
                                                        A woman is a woman",hersuit
World Politics,,21,1.6K,0,ASX - By Stock,PER,"Re:
                                                        Call regarding voting"
ASX - By Stock,,25,5.5K,0,ASX - Day Trading,"Re:
                                                        Afternoon trading April 17",fuhc46
ASX - Day Trading,,94,9.6K,0,Political Debate,"Re:
                                                        Peter Dutton easily won tonight's debate",pintohoo
Political Debate,,96,7.6K,0,ASX - By Stock,HLS,Ann: Sale of Lumus Imaging Scheduled Completion Date
ASX - By Stock,,0,20,0,ASX - By Stock,LM8,"Re:
                                                        Ann: Multiple Shallow Thick High-Grade Gold Results @ Lady Herial"
ASX - By Stock,,2,269,0,ASX - By Stock,BC8,"Re:
                                                        Ann: Kal East - Lakewood First Gold"
ASX - By Stock,,20,4.4K,0,ASX - Day Trading,"Re:
                                                        Afternoon trading April 17",AllRiseBaby
ASX - Day Trading,,94,9.6K,0,Political Debate,"Re:
                                                        Peter Dutton easily won tonight's debate",Tarvold
Political Debate,,96,7.6K,0,ASX - By Stock,PEN,"Re:
                                                        Ann: Trading Halt"
ASX - By Stock,,37,7.6K,0,ASX - By Stock,NMG,"Re:
                                                        Buy and Sell Query"
ASX - By Stock,,23,2.0K,0,1,2,3
