Fund Name,Fund URL
Hayborough Opportunities Fund,https://citywire.comhttps://citywire.com/selector/fund/hayborough-opportunities-fund/c891717?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Mercer Australian Small Companies Fund,https://citywire.comhttps://citywire.com/selector/fund/mercer-australian-small-companies-fund/c255547?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Milford Dynamic Small Companies Fund,https://citywire.comhttps://citywire.com/selector/fund/milford-dynamic-small-companies-fund/c847853?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
UBS Australian Small Companies Fund,https://citywire.comhttps://citywire.com/selector/fund/ubs-australian-small-companies-fund/c151215?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Ironbark Renaissance Wholesale Plus Australian Small Companies Fund,https://citywire.comhttps://citywire.com/selector/fund/ironbark-renaissance-wholesale-plus-australian-small-companies-fund/c755587?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
EQT SGH Wholesale Emerging Companies Fund,https://citywire.comhttps://citywire.com/selector/fund/eqt-sgh-wholesale-emerging-companies-fund/c154634?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Ironbark Renaissance Australian Small Companies Fund,https://citywire.comhttps://citywire.com/selector/fund/ironbark-renaissance-australian-small-companies-fund/c156323?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Specialist Australian Shares Fund,https://citywire.comhttps://citywire.com/selector/fund/specialist-australian-shares-fund/c155567?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Vanguard MSCI Australian Small Companies Index ETF,https://citywire.comhttps://citywire.com/selector/fund/vanguard-msci-australian-small-companies-index-etf/c790551?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
CFS MIF-Investors Mutual Future Leaders,https://citywire.comhttps://citywire.com/selector/fund/cfs-mif-investors-mutual-future-leaders/c152622?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
First Sentier Australian Small Companies,https://citywire.comhttps://citywire.com/selector/fund/first-sentier-australian-small-companies/c152639?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Dimensional Australian Small Company Trust,https://citywire.comhttps://citywire.com/selector/fund/dimensional-australian-small-company-trust/c155359?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
QVG Opportunities Fund,https://citywire.comhttps://citywire.com/selector/fund/qvg-opportunities-fund/c726933?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
CFS FCW Pen-Infinity TTR SMID Australian Equity,https://citywire.comhttps://citywire.com/selector/fund/cfs-fcw-pen-infinity-ttr-smid-australian-equity/c928414?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
AIA SAP - CFS Wholesale Small Companies Fund - Core,https://citywire.comhttps://citywire.com/selector/fund/aia-sap-cfs-wholesale-small-companies-fund-core/c776158?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Selector Australian Equities Fund,https://citywire.comhttps://citywire.com/selector/fund/selector-australian-equities-fund/c156322?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Yarra Australian Smaller Companies Fund,https://citywire.comhttps://citywire.com/selector/fund/yarra-australian-smaller-companies-fund/c890936?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Lennox Australian Small Companies Fund,https://citywire.comhttps://citywire.com/selector/fund/lennox-australian-small-companies-fund/c768870?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Anacacia Wattle Fund,https://citywire.comhttps://citywire.com/selector/fund/anacacia-wattle-fund/c868469?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
CFS MIF-Macquarie Australian Emerging Companies,https://citywire.comhttps://citywire.com/selector/fund/cfs-mif-macquarie-australian-emerging-companies/c776279?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Ausbil Global SmallCap Fund,https://citywire.comhttps://citywire.com/selector/fund/ausbil-global-smallcap-fund/c669860?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
ICE Fund,https://citywire.comhttps://citywire.com/selector/fund/ice-fund/c156320?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
First Sentier ex-20 Australian Share Fund,https://citywire.comhttps://citywire.com/selector/fund/first-sentier-ex-20-australian-share-fund/c878814?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Invesco Wholesale Australian Smaller Companies Fund,https://citywire.comhttps://citywire.com/selector/fund/invesco-wholesale-australian-smaller-companies-fund/c150423?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
CFS FC Inv-CFS Aust Small Companies,https://citywire.comhttps://citywire.com/selector/fund/cfs-fc-inv-cfs-aust-small-companies/c152645?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Longwave Australian Small Companies Fund,https://citywire.comhttps://citywire.com/selector/fund/longwave-australian-small-companies-fund/c865126?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
First Sentier Australian MidCap Fund,https://citywire.comhttps://citywire.com/selector/fund/first-sentier-australian-midcap-fund/c766940?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
AMP Capital Specialist Australian Small Companies Fund,https://citywire.comhttps://citywire.com/selector/fund/amp-capital-specialist-australian-small-companies-fund/c151328?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Perpetual Smaller Companies Fund,https://citywire.comhttps://citywire.com/selector/fund/perpetual-smaller-companies-fund/c776038?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Perpetual Smaller Companies No. 2,https://citywire.comhttps://citywire.com/selector/fund/perpetual-smaller-companies-no-2/c150884?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
BetaShares Australian Small Companies Select ETF,https://citywire.comhttps://citywire.com/selector/fund/betashares-australian-small-companies-select-etf/c726126?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Microequities High Income Value Microcap Fund,https://citywire.comhttps://citywire.com/selector/fund/microequities-high-income-value-microcap-fund/c661269?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
SPDRÂ® S&P/ASX Small Ordinaries ETF,https://citywire.comhttps://citywire.com/selector/fund/spdr-s-and-p-or-asx-small-ordinaries-etf/c740721?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Perennial Value Emerging Companies Trust,https://citywire.comhttps://citywire.com/selector/fund/perennial-value-emerging-companies-trust/c848344?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
iShares S&P/ASX Small Ordinaries ETF,https://citywire.comhttps://citywire.com/selector/fund/ishares-s-and-p-or-asx-small-ordinaries-etf/c789869?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Montgomery Small Companies Fund,https://citywire.comhttps://citywire.com/selector/fund/montgomery-small-companies-fund/c846592?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Microequities Pure Microcap Value Fund,https://citywire.comhttps://citywire.com/selector/fund/microequities-pure-microcap-value-fund/c661270?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
DNR Capital Australian Emerging Companies Fund,https://citywire.comhttps://citywire.com/selector/fund/dnr-capital-australian-emerging-companies-fund/c665178?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Yarra Emerging Leaders Fund,https://citywire.comhttps://citywire.com/selector/fund/yarra-emerging-leaders-fund/c150930?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
First Sentier Australian Small Companies Long Short Opportunities Fund,https://citywire.comhttps://citywire.com/selector/fund/first-sentier-australian-small-companies-long-short-opportunities-fund/c914063?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Perennial Value Emerging Industrial Trust,https://citywire.comhttps://citywire.com/selector/fund/perennial-value-emerging-industrial-trust/c898872?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Elston Australian Emerging Leaders Fund,https://citywire.comhttps://citywire.com/selector/fund/elston-australian-emerging-leaders-fund/c894564?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Perennial Better Future Fund,https://citywire.comhttps://citywire.com/selector/fund/perennial-better-future-fund/c867805?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
VanEck Small Companies Masters ETF,https://citywire.comhttps://citywire.com/selector/fund/vaneck-small-companies-masters-etf/c724539?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Microequities Deep Value Fund,https://citywire.comhttps://citywire.com/selector/fund/microequities-deep-value-fund/c568663?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
CFS FC-Eiger Australian Small Companies,https://citywire.comhttps://citywire.com/selector/fund/cfs-fc-eiger-australian-small-companies/c900377?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Smallco Investment Fund,https://citywire.comhttps://citywire.com/selector/fund/smallco-investment-fund/c153003?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Perennial Better Future Trust,https://citywire.comhttps://citywire.com/selector/fund/perennial-better-future-trust/c647235?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
OC Mid Cap Fund,https://citywire.comhttps://citywire.com/selector/fund/oc-mid-cap-fund/c934794?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Celeste Australian Small Companies Fund,https://citywire.comhttps://citywire.com/selector/fund/celeste-australian-small-companies-fund/c154979?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Eiger Australian Small Companies Fund,https://citywire.comhttps://citywire.com/selector/fund/eiger-australian-small-companies-fund/c863861?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Perennial Value Smaller Companies Trust,https://citywire.comhttps://citywire.com/selector/fund/perennial-value-smaller-companies-trust/c150197?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Perennial Value Microcap Opportunities,https://citywire.comhttps://citywire.com/selector/fund/perennial-value-microcap-opportunities/c585586?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Regal Australian Small Companies Fund,https://citywire.comhttps://citywire.com/selector/fund/regal-australian-small-companies-fund/c756998?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
The Elvest Fund,https://citywire.comhttps://citywire.com/selector/fund/the-elvest-fund/c908885?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Clime Smaller Companies Fund,https://citywire.comhttps://citywire.com/selector/fund/clime-smaller-companies-fund/c631431?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Microequities Emerging Companies Value Fund,https://citywire.comhttps://citywire.com/selector/fund/microequities-emerging-companies-value-fund/c873527?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
CFS FC Inv-OC Premium Small Companies,https://citywire.comhttps://citywire.com/selector/fund/cfs-fc-inv-oc-premium-small-companies/c757748?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
CFS FC-OC Premium Small Companies,https://citywire.comhttps://citywire.com/selector/fund/cfs-fc-oc-premium-small-companies/c757749?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Spatium Small Companies Fund,https://citywire.comhttps://citywire.com/selector/fund/spatium-small-companies-fund/c872649?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
CFS FC W PSup-Bennelong ex-20 Aust Eq,https://citywire.comhttps://citywire.com/selector/fund/cfs-fc-w-psup-bennelong-ex-20-aust-eq/c757747?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
CFS FC Inv-Bennelong ex-20 Australian Equities,https://citywire.comhttps://citywire.com/selector/fund/cfs-fc-inv-bennelong-ex-20-australian-equities/c757746?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Contact Australian Ex-50 Fund,https://citywire.comhttps://citywire.com/selector/fund/contact-australian-ex-50-fund/c878458?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Bennelong Wholesale Plus ex-20 Australian Equities Fund,https://citywire.comhttps://citywire.com/selector/fund/bennelong-wholesale-plus-ex-20-australian-equities-fund/c755590?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Bennelong ex-20 Australian Equities Fund,https://citywire.comhttps://citywire.com/selector/fund/bennelong-ex-20-australian-equities-fund/c273461?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Ganes Focused Value Fund,https://citywire.comhttps://citywire.com/selector/fund/ganes-focused-value-fund/c156063?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
EGP Concentrated Value Fund,https://citywire.comhttps://citywire.com/selector/fund/egp-concentrated-value-fund/c620302?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
Ellerston Mid Cap Opportunities Fund,https://citywire.comhttps://citywire.com/selector/fund/ellerston-mid-cap-opportunities-fund/c943207?utm_medium=website&utm_source=citywire_global&utm_campaign=sector-page-league-table&utm_content=i2642
